0,1,2,3,4,5,6,7,8,9,10
whole milk,whole milk,,,,,,,,,
tropical fruit,whole milk,fruit/vegetable juice,whole milk,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
liquor,vinegar,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
meat,other vegetables,,,,,,,,,
canned fruit,whole milk,,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
other vegetables,oil,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
curd,root vegetables,dish cleaner,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
vinegar,whole milk,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
chewing gum,newspapers,newspapers,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
snack products,liquor (appetizer),,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
salty snack,whole milk,,,,,,,,,
pastry,newspapers,,,,,,,,,
whole milk,pastry,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
grapes,rolls/buns,pot plants,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,soda,,,,,,,,,
zwieback,salty snack,,,,,,,,,
canned beer,liquor,onions,chocolate,,,,,,,
root vegetables,soda,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
white wine,newspapers,dog food,,,,,,,,
chicken,domestic eggs,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
soda,canned fish,,,,,,,,,
sausage,chicken,domestic eggs,curd,pastry,,,,,,
canned beer,whole milk,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
bottled beer,pip fruit,butter,specialty bar,detergent,specialty bar,,,,,
sausage,sliced cheese,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
light bulbs,frozen vegetables,liquor,citrus fruit,butter,chewing gum,cream cheese ,rolls/buns,,,
packaged fruit/vegetables,semi-finished bread,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,whole milk,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
butter,long life bakery product,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
domestic eggs,sliced cheese,,,,,,,,,
canned beer,salty snack,,,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
whole milk,canned beer,,,,,,,,,
specialty bar,pastry,,,,,,,,,
ham,curd,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
whole milk,napkins,pastry,long life bakery product,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
sausage,yogurt,,,,,,,,,
butter,canned fish,cream cheese ,,,,,,,,
onions,frozen vegetables,,,,,,,,,
waffles,sparkling wine,,,,,,,,,
pastry,frozen fish,,,,,,,,,
liquor,cream cheese ,rolls/buns,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
sausage,white bread,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pastry,shopping bags,,,,,,,,,
meat,rolls/buns,,,,,,,,,
detergent,candy,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
sugar,other vegetables,,,,,,,,,
sausage,white wine,whole milk,beverages,semi-finished bread,napkins,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
sausage,bottled beer,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,margarine,sugar,,,,,,,,
soda,semi-finished bread,,,,,,,,,
other vegetables,oil,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
brandy,whole milk,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
frozen meals,tidbits,,,,,,,,,
yogurt,salty snack,,,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
chewing gum,cake bar,,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,yogurt,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
semi-finished bread,waffles,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
curd,curd,,,,,,,,,
newspapers,whole milk,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
bottled beer,berries,,,,,,,,,
whole milk,bottled water,,,,,,,,,
rolls/buns,house keeping products,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
curd,yogurt,,,,,,,,,
soda,yogurt,brown bread,,,,,,,,
pastry,soda,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,frozen dessert,beverages,,,,,,,,
soda,yogurt,,,,,,,,,
soda,ice cream,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
whole milk,root vegetables,,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
canned beer,root vegetables,,,,,,,,,
newspapers,whole milk,,,,,,,,,
onions,rolls/buns,,,,,,,,,
bottled water,margarine,,,,,,,,,
turkey,bottled water,,,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
beef,brown bread,,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
canned beer,coffee,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
whole milk,rolls/buns,other vegetables,margarine,,,,,,,
pork,whole milk,napkins,,,,,,,,
soda,snack products,whole milk,,,,,,,,
meat,waffles,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
brown bread,brown bread,,,,,,,,,
soda,mayonnaise,,,,,,,,,
pork,napkins,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
herbs,brown bread,,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
pork,curd,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
meat,other vegetables,,,,,,,,,
candy,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
chicken,soda,frozen meals,,,,,,,,
white bread,photo/film,,,,,,,,,
frozen meals,dish cleaner,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
hard cheese,white wine,,,,,,,,,
ham,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
berries,sliced cheese,,,,,,,,,
fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
chocolate,other vegetables,chocolate,pip fruit,bottled water,yogurt,pasta,shopping bags,,,
bottled water,dessert,,,,,,,,,
semi-finished bread,cereals,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,onions,,,,,,,,,
frozen chicken,dessert,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pork,brown bread,,,,,,,,,
chicken,onions,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
pork,pastry,rolls/buns,,,,,,,,
candles,whole milk,,,,,,,,,
shopping bags,long life bakery product,,,,,,,,,
berries,rolls/buns,,,,,,,,,
brown bread,chocolate,,,,,,,,,
pork,bottled beer,,,,,,,,,
bottled water,chocolate,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
butter,margarine,,,,,,,,,
berries,ham,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
curd,curd,,,,,,,,,
whipped/sour cream,napkins,pickled vegetables,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
root vegetables,margarine,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
chocolate marshmallow,canned beer,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
margarine,yogurt,,,,,,,,,
pork,rolls/buns,brown bread,yogurt,,,,,,,
semi-finished bread,white bread,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
white bread,curd cheese,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
chicken,napkins,soda,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
butter,dish cleaner,light bulbs,,,,,,,,
citrus fruit,soda,,,,,,,,,
pork,tropical fruit,,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
bottled beer,other vegetables,salty snack,,,,,,,,
pot plants,other vegetables,,,,,,,,,
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise,,,,,
canned beer,bottled beer,,,,,,,,,
whole milk,brown bread,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
sausage,chocolate,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
other vegetables,tropical fruit,seasonal products,butter,shopping bags,,,,,,
cream cheese ,newspapers,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
sugar,berries,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
ham,butter milk,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
ham,white wine,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,hygiene articles,pot plants,soda,,,,
sausage,rolls/buns,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
hamburger meat,whole milk,,,,,,,,,
ice cream,root vegetables,,,,,,,,,
pork,bottled beer,,,,,,,,,
beef,napkins,,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
pip fruit,whole milk,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
citrus fruit,hamburger meat,tea,root vegetables,sugar,shopping bags,,,,,
pet care,chocolate,,,,,,,,,
whole milk,coffee,chewing gum,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
UHT-milk,other vegetables,,,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
cereals,sugar,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
ice cream,Instant food products,long life bakery product,,,,,,,,
pork,oil,,,,,,,,,
chicken,yogurt,,,,,,,,,
herbs,cereals,,,,,,,,,
ham,bottled beer,,,,,,,,,
other vegetables,red/blush wine,curd,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
canned beer,soda,,,,,,,,,
coffee,curd cheese,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,pip fruit,coffee,,,,,,,,
brown bread,coffee,canned beer,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
pork,brown bread,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
whole milk,seasonal products,,,,,,,,,
frankfurter,ham,tropical fruit,misc. beverages,tropical fruit,photo/film,specialty chocolate,frozen fish,,,
sausage,cocoa drinks,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
frankfurter,syrup,,,,,,,,,
berries,rolls/buns,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
ham,flour,whipped/sour cream,,,,,,,,
whole milk,yogurt,,,,,,,,,
sausage,pasta,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
whole milk,whole milk,,,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
sausage,bottled beer,,,,,,,,,
yogurt,bottled beer,napkins,,,,,,,,
detergent,pot plants,,,,,,,,,
whole milk,beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,berries,,,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
butter,onions,napkins,,,,,,,,
pork,cake bar,,,,,,,,,
whole milk,soda,soda,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
pork,pastry,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
meat,whole milk,ready soups,,,,,,,,
ham,mayonnaise,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
root vegetables,waffles,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
root vegetables,rice,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
herbs,whole milk,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
pip fruit,whole milk,coffee,salty snack,,,,,,,
beverages,cream cheese ,,,,,,,,,
female sanitary products,other vegetables,,,,,,,,,
specialty bar,waffles,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
specialty bar,roll products ,Instant food products,,,,,,,,
chicken,pickled vegetables,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
shopping bags,coffee,,,,,,,,,
fruit/vegetable juice,whipped/sour cream,hygiene articles,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
canned beer,ice cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,chicken,UHT-milk,bottled water,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
ham,whole milk,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
chicken,pip fruit,,,,,,,,,
soda,napkins,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
beef,whole milk,,,,,,,,,
white wine,dishes,,,,,,,,,
butter,frozen meals,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
baking powder,bottled water,,,,,,,,,
meat,bottled water,soda,,,,,,,,
chicken,chicken,salt,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
chewing gum,condensed milk,,,,,,,,,
beef,newspapers,,,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
chocolate,yogurt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
potato products,specialty bar,,,,,,,,,
brown bread,white wine,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
ham,canned beer,,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
canned beer,margarine,,,,,,,,,
misc. beverages,napkins,,,,,,,,,
whole milk,beef,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd,,,,
chicken,roll products ,,,,,,,,,
dishes,shopping bags,brown bread,white bread,,,,,,,
onions,candy,,,,,,,,,
chicken,whole milk,white bread,newspapers,,,,,,,
domestic eggs,soda,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
soda,candles,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
onions,onions,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
other vegetables,domestic eggs,bottled beer,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
sausage,bottled beer,,,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
brown bread,misc. beverages,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
specialty bar,soda,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
bottled beer,beef,frozen vegetables,shopping bags,,,,,,,
yogurt,shopping bags,bottled water,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
whole milk,candy,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
red/blush wine,whole milk,margarine,,,,,,,,
meat,pip fruit,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
tropical fruit,bottled water,semi-finished bread,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
rolls/buns,butter,,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
sugar,other vegetables,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
beef,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
rolls/buns,napkins,cream cheese ,shopping bags,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
pork,cake bar,,,,,,,,,
chocolate,yogurt,,,,,,,,,
bottled water,pastry,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
butter,soda,,,,,,,,,
snack products,soups,,,,,,,,,
grapes,ketchup,,,,,,,,,
soda,liquor,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
yogurt,butter,,,,,,,,,
bottled beer,newspapers,pickled vegetables,mustard,,,,,,,
frankfurter,hygiene articles,rolls/buns,,,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
margarine,soda,canned fish,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
sausage,newspapers,,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
soda,meat,,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
frankfurter,whole milk,,,,,,,,,
photo/film,pip fruit,butter,liquor (appetizer),bottled beer,sweet spreads,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
ham,napkins,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
domestic eggs,cat food,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
canned beer,whole milk,other vegetables,,,,,,,,
other vegetables,canned fish,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
soda,citrus fruit,,,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
whole milk,white bread,,,,,,,,,
yogurt,newspapers,,,,,,,,,
frankfurter,soda,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
rolls/buns,yogurt,frozen vegetables,white wine,,,,,,,
yogurt,other vegetables,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
frankfurter,soda,,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
citrus fruit,cereals,,,,,,,,,
chicken,frozen dessert,,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
root vegetables,napkins,,,,,,,,,
whole milk,soda,,,,,,,,,
onions,soda,,,,,,,,,
berries,beverages,pastry,napkins,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
ice cream,napkins,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
butter milk,bottled water,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
pastry,napkins,,,,,,,,,
whole milk,bottled water,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
berries,condensed milk,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
berries,domestic eggs,,,,,,,,,
meat,other vegetables,,,,,,,,,
chicken,soda,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
napkins,brown bread,,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
newspapers,salty snack,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pasta,canned beer,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
butter,specialty chocolate,,,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
frankfurter,pip fruit,pip fruit,whole milk,candy,,,,,,
whole milk,margarine,soda,softener,,,,,,,
sausage,curd cheese,,,,,,,,,
ham,root vegetables,newspapers,other vegetables,,,,,,,
cat food,canned beer,sliced cheese,dishes,zwieback,,,,,,
pip fruit,whole milk,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
hard cheese,sugar,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
brown bread,pet care,,,,,,,,,
hard cheese,white wine,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,berries,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,baking powder,,,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
other vegetables,pastry,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
sausage,bottled beer,bottled water,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
beverages,newspapers,,,,,,,,,
bottled water,berries,oil,,,,,,,,
bottled beer,liver loaf,bottled water,pastry,,,,,,,
hamburger meat,bottled water,,,,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
specialty chocolate,onions,,,,,,,,,
whole milk,cat food,,,,,,,,,
dog food,bottled beer,,,,,,,,,
chicken,margarine,waffles,,,,,,,,
cereals,sausage,tropical fruit,other vegetables,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
UHT-milk,bottled beer,domestic eggs,rolls/buns,,,,,,,
grapes,long life bakery product,,,,,,,,,
other vegetables,coffee,,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
citrus fruit,onions,,,,,,,,,
sugar,shopping bags,,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
brown bread,packaged fruit/vegetables,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
beef,dessert,,,,,,,,,
soda,margarine,,,,,,,,,
berries,pastry,shopping bags,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
ham,tropical fruit,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
sausage,beverages,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
rolls/buns,pastry,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
rolls/buns,whole milk,semi-finished bread,processed cheese,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
coffee,other vegetables,,,,,,,,,
soda,butter,,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
brown bread,whipped/sour cream,,,,,,,,,
